dataset_key,imbalance_ratio,segment,left_method,right_method,mean_delta,ci_low,ci_high,n,indistinguishable
adult,3.0,mid,direct_displacement,direct_smote,0.0003059365966126104,-0.0004583145029689045,0.0009733451585292065,10,True
adult,3.0,mid,latent_smote,direct_smote,0.00029766731381196675,-0.00045334931903552757,0.0009761366038693068,10,True
adult,3.0,mid,latent_displacement,direct_displacement,-0.0003396892412862562,-0.0012390937465227689,0.0006562358505729005,10,True
adult,3.0,mid,direct_smote,real_balanced,-0.010032311122808635,-0.011002289263550945,-0.008736665602903466,10,False
adult,3.0,mid,direct_displacement,real_balanced,-0.009726374526196024,-0.010497858087089603,-0.00881639594291557,10,True
adult,3.0,mid,latent_smote,real_balanced,-0.009734643808996668,-0.010824483413867011,-0.00865020332763565,10,True
adult,3.0,mid,latent_displacement,real_balanced,-0.010066063767482281,-0.01117917583492829,-0.008781898266374896,10,False
adult,5.0,early,latent_displacement,latent_smote,-0.0005791357378303275,-0.003048541870269542,0.0017586843365723522,10,True
adult,5.0,early,direct_displacement,direct_smote,0.0025137538636684,-0.0010391675280316114,0.006535318866794438,10,True
adult,5.0,early,latent_smote,direct_smote,-0.0012897976586396353,-0.00401549187475,0.001414064934423205,10,True
adult,5.0,early,latent_displacement,direct_displacement,-0.004382687260138363,-0.007592675906394556,-0.0007620049426604129,10,True
adult,5.0,early,direct_smote,real_balanced,-0.022151385920794665,-0.027599281257505145,-0.01712246647585283,10,False
adult,5.0,early,direct_displacement,real_balanced,-0.019637632057126264,-0.022421818687220322,-0.016671315432883034,10,False
adult,5.0,early,latent_smote,real_balanced,-0.0234411835794343,-0.029674390049077595,-0.017604217639360847,10,False
adult,5.0,early,latent_displacement,real_balanced,-0.024020319317264626,-0.028936779474686935,-0.019378741087636014,10,False
adult,5.0,full,latent_displacement,latent_smote,-0.0001941137001415516,-0.0008065408837128138,0.000448639629734744,10,True
adult,5.0,full,direct_displacement,direct_smote,0.0011357289855648323,0.0002790443669570642,0.002245609534526305,10,True
adult,5.0,full,latent_smote,direct_smote,0.0013459312075162154,0.0008127508440804235,0.0018208764544627109,10,True
adult,5.0,full,latent_displacement,direct_displacement,1.6088521809831668e-05,-0.0008400775058739775,0.000767791847790819,10,True
adult,5.0,full,direct_smote,real_balanced,-0.018281241308201367,-0.019379708804395178,-0.01714417291674406,10,False
adult,5.0,full,direct_displacement,real_balanced,-0.017145512322636537,-0.018015993380599102,-0.01628832403709088,10,False
adult,5.0,full,latent_smote,real_balanced,-0.016935310100685153,-0.018128921470842593,-0.015711688921978276,10,False
adult,5.0,full,latent_displacement,real_balanced,-0.017129423800826705,-0.018195228957316133,-0.016160861805415833,10,False
adult,5.0,mid,latent_displacement,latent_smote,0.0004960134640752178,-6.06530016005699e-05,0.001095244149759056,10,True
adult,5.0,mid,direct_displacement,direct_smote,0.00030876125789685015,-0.0007241054065079029,0.0017082121684353223,10,True
